chunk_index,n,chunk_index_mean,chunk_index_std,bitwise/clean_mean,bitwise/clean_std,bitwise/distorted_mean,bitwise/distorted_std,bitwise/no_watermark_clean_mean,bitwise/no_watermark_clean_std,bitwise/no_watermark_distorted_mean,bitwise/no_watermark_distorted_std,hard/clean_mean,hard/clean_std,hard/distorted_mean,hard/distorted_std,hard/no_watermark_clean_mean,hard/no_watermark_clean_std,hard/no_watermark_distorted_mean,hard/no_watermark_distorted_std,sisnr_wm_mean,sisnr_wm_std,sisnr_attack_mean,sisnr_attack_std
0,1319,0.0,0.0,0.9961144806671721,0.020857956983773965,0.908595526914329,0.19115167491563978,0.5015163002274451,0.12529844553922126,0.5019901440485216,0.12458068676439121,0.9552691432903715,0.20671237787721178,0.7263078089461713,0.445852863184687,0.0,0.0,0.0,0.0,23.43255822598889,5.823707689315005,20.976730117935848,28.221947221358988
1,1319,1.0,0.0,0.9958775587566339,0.019865983432875062,0.9053733889310084,0.1950593499540899,0.5008055344958302,0.12786682316066014,0.4991470811220622,0.12542283440079754,0.9484457922668689,0.22112523917034058,0.7073540561031084,0.45497724714274335,0.000758150113722517,0.027524086217848902,0.0,0.0,23.14721932313585,5.780224628974681,21.13593921450004,28.648766810932635
2,1296,2.0,0.0,0.9959008487654321,0.018813001337939825,0.9067804783950617,0.19452121063236844,0.5042920524691358,0.1258996382465104,0.5035204475308642,0.12604319851576154,0.9467592592592593,0.2245131716984952,0.7091049382716049,0.45417521375613207,0.0,0.0,0.0,0.0,23.08090565528399,5.869559533020331,21.176674406304322,28.495745250450497
3,1296,3.0,0.0,0.9965277777777778,0.017010345435994292,0.9073591820987654,0.1939135222944806,0.5000964506172839,0.12115514440245474,0.5001929012345679,0.12317812517080777,0.9537037037037037,0.21012603181315218,0.7175925925925926,0.4501704828715828,0.0,0.0,0.0,0.0,22.97452280697999,5.729466538621258,21.39264558210256,28.51952273306525
4,1057,4.0,0.0,0.994914853358562,0.021320632777353164,0.9095316934720908,0.19107611328322918,0.4959791863765374,0.12136424546658266,0.4988174077578051,0.11943039980283318,0.934720908230842,0.24701767537354857,0.706717123935667,0.45526698833955237,0.0,0.0,0.0,0.0,22.86293577809546,5.757741412733519,21.67104588836685,28.511303546718498
5,1057,5.0,0.0,0.9956835383159887,0.02087886614795265,0.9091177861873226,0.1927196889539832,0.4975756859035005,0.12590450964458594,0.497457426679281,0.12507759402149843,0.9460737937559129,0.2258720224467989,0.7228003784295175,0.4476158971391251,0.0,0.0,0.0,0.0,22.958339908603463,5.792834319289028,21.670770175364257,28.465144631886492
6,622,6.0,0.0,0.9951768488745981,0.02354804716146628,0.9016278135048231,0.2045149861600111,0.4969855305466238,0.12283477040143734,0.5023110932475884,0.12272214946857575,0.9405144694533762,0.23653118653194652,0.6881028938906752,0.4632680663611009,0.0,0.0,0.0,0.0,22.7694357844411,5.2281344676254164,22.782587965641927,28.65611212388871
7,622,7.0,0.0,0.9956792604501608,0.018420082989250606,0.9040393890675241,0.19986558901817428,0.49557877813504825,0.12477087772815285,0.4900522508038585,0.12115371538738963,0.9421221864951769,0.23351225280212612,0.6945337620578779,0.460604619407588,0.0,0.0,0.0,0.0,22.84136820452773,5.231890860805386,22.884670986898747,29.16962385149359
8,214,8.0,0.0,0.9947429906542056,0.020259515415916616,0.896320093457944,0.19145450795148322,0.5137266355140186,0.11922078117669406,0.5119742990654206,0.12272646639749404,0.9299065420560748,0.2553044556943502,0.6448598130841121,0.4785557799810134,0.0,0.0,0.0,0.0,22.606581777055688,3.4497866811949818,24.224423610439924,28.877942156910002
9,214,9.0,0.0,0.9912383177570093,0.031335861170564625,0.8893107476635514,0.20780708146929638,0.5154789719626168,0.13346579167890119,0.518107476635514,0.11794003957415873,0.897196261682243,0.3037023702667649,0.6121495327102804,0.4872601792809113,0.0,0.0,0.0,0.0,22.879796874857394,3.5341796886510117,23.09943355473681,27.54702249733852
