attack_type,n,chunk_index_mean,chunk_index_std,msg_l_mean,msg_l_std,hard/clean_mean,hard/clean_std,bitwise/clean_mean,bitwise/clean_std,hard/distorted_mean,hard/distorted_std,bitwise/distorted_mean,bitwise/distorted_std,hard/no_watermark_clean_mean,hard/no_watermark_clean_std,bitwise/no_watermark_clean_mean,bitwise/no_watermark_clean_std,hard/no_watermark_distorted_mean,hard/no_watermark_distorted_std,bitwise/no_watermark_distorted_mean,bitwise/no_watermark_distorted_std,sisnr_wm_mean,sisnr_wm_std,sisnr_attack_mean,sisnr_attack_std
aac,653,2.5957120980091886,1.9031963095706355,0.028053103107844403,0.10363245291730985,0.9785604900459418,0.14484425210200103,0.9985643185298622,0.009981629268364234,0.8315467075038285,0.37426832719770825,0.8924196018376723,0.2510181473616899,0.0,0.0,0.327718223583461,0.12510248572415933,0.0,0.0,0.33011102603369064,0.12057027397213632,48.928046286379946,0.4769848004151248,-30.504665954919904,12.882689097436238
background_noise,576,2.5086805555555554,1.8745168809173567,0.02154716556379642,0.06568949418746672,0.9947916666666666,0.07198059875565237,0.9996744791666666,0.004498787422228273,0.9513888888888888,0.21505364676669478,0.9890407986111112,0.06013820586136015,0.0,0.0,0.3307291666666667,0.11584883551841263,0.0,0.0,0.3247612847222222,0.11484438767131587,48.968614684210884,0.5561409437605523,27.56860552231471,4.418861358763946
dac,978,2.576687116564417,1.9235778658503628,0.02958856099436318,0.10275119535622096,0.9856850715746421,0.11878556835548146,0.9984023517382413,0.01769132702001297,0.0010224948875255625,0.03196012189793003,0.3323747443762781,0.12442517485301999,0.0,0.0,0.3264314928425358,0.11604226016936754,0.0,0.0,0.3255368098159509,0.1106515638555902,49.050800889060056,0.7902104529602484,3.11670549949005,6.00583862456246
dynamic_range_compression,630,2.5142857142857142,1.8878775470493474,0.023706117464554324,0.08401590511163282,0.9904761904761905,0.09712418121129116,0.9993055555555556,0.0074378302173518105,0.8809523809523809,0.32384453592227247,0.9748015873015873,0.08537650227280114,0.0,0.0,0.3263888888888889,0.11708282729748108,0.0,0.0,0.3194444444444444,0.11754089498104617,48.91283075241815,0.8523598046007952,11.834204152226448,3.5179526443205997
dynamic_range_expansion,656,2.5076219512195124,1.8789437752997444,0.019963054504833447,0.06244545595665573,0.9923780487804879,0.08697043796095066,0.9995236280487805,0.0054356523725594165,0.7728658536585366,0.4189799827046611,0.9371189024390244,0.15670618638080272,0.0,0.0,0.31850228658536583,0.11290971967284658,0.0,0.0,0.3171684451219512,0.11736749233641508,48.99563766107327,0.46994903176744096,5.573854192744986,3.9983066530100193
encodec,972,2.558641975308642,1.8920609007284184,0.029970429879973694,0.09715364858859712,0.9886831275720165,0.10577712808746645,0.9987139917695473,0.016480986979013162,0.0,0.0,0.3279963991769547,0.1221256109638319,0.0,0.0,0.33037551440329216,0.11693520873727836,0.0,0.0,0.30767746913580246,0.11069825211432538,49.03184886822485,0.6484447764252764,8.614040504932143,7.345978557461732
eq,768,2.5247395833333335,1.894183100886279,0.042896368360967746,0.1338749831023253,0.9791666666666666,0.1428261375083551,0.9977213541666666,0.019000492379573554,0.7044270833333334,0.45629986587750204,0.92626953125,0.1589161069420391,0.0,0.0,0.3356119791666667,0.11738219864879243,0.0,0.0,0.3287760416666667,0.1194639283683849,49.052722876270614,0.9462040837645682,2.3755599185080123,3.6253680251483376
gain,262,2.553435114503817,1.8949026726773182,0.01671353507639895,0.06299991395016968,0.9923664122137404,0.08703629199230059,0.9995229007633588,0.005439768249518788,0.9923664122137404,0.08703629199230059,0.9995229007633588,0.005439768249518788,0.0,0.0,0.34064885496183206,0.12349131061090417,0.0,0.0,0.3260973282442748,0.12091359870436555,48.94685925782182,0.56233917949353,92.81238832546555,9.633920079840646
gaussian_noise,595,2.477310924369748,1.8770814541939775,0.029723094212513897,0.08416984703482577,0.9915966386554622,0.0912838696739514,0.9993697478991597,0.007219680788840161,0.28403361344537814,0.4509529020624434,0.6204831932773109,0.3047666274324104,0.0,0.0,0.32331932773109245,0.11439147973010128,0.0,0.0,0.3244747899159664,0.1138446134127879,49.062362440093224,0.5051826386985127,29.34765537165794,5.480653302896137
highpass,603,2.4892205638474296,1.8762193088673953,0.025819301971413428,0.061556517847579165,0.9966832504145937,0.057495641205173184,0.9997927031509121,0.0035934775753233236,0.8258706467661692,0.3792206766200897,0.9508706467661692,0.1419709515896471,0.0,0.0,0.3150912106135987,0.11353870026005833,0.0,0.0,0.32234660033167495,0.11635845614295197,48.9618600304447,0.4167204317503293,-9.494593882874568,8.972619945292447
limiter,605,2.5950413223140494,1.9024929812609066,0.034053163944616834,0.10288919685129781,0.9950413223140496,0.07024307226735794,0.9994834710743802,0.00760543897491982,0.6347107438016529,0.4815111790025289,0.890599173553719,0.19655005481785998,0.0,0.0,0.32086776859504135,0.11672383470926452,0.0,0.0,0.3240702479338843,0.11003574373783516,48.93979546412949,1.2933268089712666,7.752963533677345,3.860575767663188
lowpass,754,2.5411140583554377,1.8920556601070029,0.025275084868284132,0.08246393550703558,0.993368700265252,0.08116234101217104,0.9995855437665783,0.005072646313260691,0.9854111405835544,0.11990006087309886,0.9985908488063661,0.013773173231722589,0.0,0.0,0.3318136604774536,0.10975029573017492,0.0,0.0,0.3292440318302387,0.11252125704355652,49.0127670885081,0.5350425681842748,14.268788288063332,6.98155959483295
mp3,638,2.489028213166144,1.8718435071318003,0.040758931961285896,0.10925690257655768,0.9780564263322884,0.14649932847082034,0.9981387147335423,0.014091949153682433,0.3275862068965517,0.46933302030400686,0.7192398119122257,0.28458232279317636,0.0,0.0,0.31808385579937304,0.12121794902446204,0.0,0.0,0.328467868338558,0.11614806915121893,49.11287828523164,0.725971657231209,17.011635210306668,6.617250104321979
phase_shift,317,2.4921135646687698,1.902372985941333,0.028221440227954885,0.07823149013730808,0.9936908517350158,0.07917918232183681,0.9996056782334385,0.0049486988951148005,0.3627760252365931,0.4808009783165295,0.7099763406940063,0.28115694996352564,0.0,0.0,0.3264984227129338,0.11574032379735773,0.0,0.0,0.3286671924290221,0.11454657062367411,49.10180420980845,0.6777512418700066,-22.238620893154234,14.385295588337117
polarity,293,2.5631399317406145,1.8840826986179229,0.03882624333290888,0.1170443203592905,0.9761092150170648,0.15270892369417816,0.998080204778157,0.014010462349550366,0.9761092150170648,0.15270892369417816,0.998080204778157,0.014010462349550366,0.0,0.0,0.32807167235494883,0.12440195496417937,0.0,0.0,0.3263651877133106,0.12406756560796327,49.09090064247314,0.7571604375776899,92.2156893368874,0.6985709825295026
quantization,360,2.5027777777777778,1.887088602864669,0.02934137195794574,0.10097164063344329,0.9833333333333333,0.12801909579781015,0.9984375,0.013491493590613144,0.9833333333333333,0.12801909579781015,0.9984375,0.013491493590613144,0.0,0.0,0.3237847222222222,0.12890025823149098,0.0,0.0,0.3217013888888889,0.12745834449499305,48.94257273144192,0.8168219950394806,60.92870865927802,8.214441776716265
reverb,595,2.561344537815126,1.9011323137990699,0.027105266239775855,0.07667373507783676,0.9949579831932773,0.07082792438892598,0.9996848739495798,0.0044267452743078734,0.5966386554621849,0.49057208468324115,0.8696428571428572,0.2215217342643845,0.0,0.0,0.3206932773109244,0.11555080204812564,0.0,0.0,0.3177521008403361,0.11521007254105087,49.027318104976366,0.5340720098083646,3.28708549953778,2.2141622870644486
time_jitter,232,2.5474137931034484,1.9090059340823105,0.010552809737672156,0.03043523662218723,1.0,0.0,1.0,0.0,0.7155172413793104,0.4511677278665353,0.9046336206896551,0.19975422784527744,0.0,0.0,0.32165948275862066,0.11482109583176918,0.0,0.0,0.3254310344827586,0.11102276087997724,48.94590441933994,0.3961381578152224,34.583144853855,9.775727532991436
time_stretch,324,2.5308641975308643,1.9089549836771524,0.036824323062160755,0.12674050668675585,0.9722222222222222,0.16433554953054486,0.9974922839506173,0.016462286745984787,0.0,0.0,0.435570987654321,0.13491231568584056,0.0,0.0,0.32349537037037035,0.11573350671837418,0.0,0.0,0.3277391975308642,0.11824625398226163,48.903966738853924,0.6702370235712427,-20.641052776648674,10.343256492897696
vorbis,678,2.4690265486725664,1.8676131019058022,0.037298640290197374,0.11228134004526462,0.9823008849557522,0.13185543739602956,0.9983407079646017,0.013476369379479713,0.36430678466076694,0.48123523490170633,0.7290744837758112,0.298728624810338,0.0,0.0,0.31821533923303835,0.10979442818683069,0.0,0.0,0.3202433628318584,0.12186313194696911,49.00577592990391,0.4443020441605248,19.5201137966111,4.963896821475651
